,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
35,34,Jeffrey Springs,TBR,2.0,0.0,0.56,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,24.0
36,35,Devin Williams,MIL,3.0,0.0,0.59,15.0,0.0,0.0,0.0,7.0,0.0,0.0,15.1,58.0,7.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,19.0
37,36,Jose Alvarado,PHI,0.0,0.0,0.63,14.0,0.0,0.0,0.0,5.0,4.0,2.0,14.1,52.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0
38,37,Yennier Cano,BAL,1.0,0.0,0.68,21.0,0.0,0.0,0.0,4.0,10.0,0.0,26.2,89.0,11.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0
39,38,Daniel Bard,COL,1.0,0.0,0.69,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,54.0,7.0,1.0,1.0,1.0,10.0,0.0,2.0,2.0,1.0,10.0
40,39,Phil Maton,HOU,0.0,0.0,0.74,21.0,0.0,0.0,0.0,0.0,3.0,0.0,24.1,87.0,10.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,25.0
41,40,Brandon Woodruff,MIL,1.0,0.0,0.79,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.1,42.0,7.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0
42,41,Josh Hader,SDP,0.0,0.0,0.82,22.0,0.0,0.0,0.0,13.0,0.0,2.0,22.0,82.0,7.0,3.0,2.0,1.0,9.0,1.0,0.0,2.0,0.0,32.0
43,42,Tayler Saucedo,SEA,1.0,0.0,0.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
44,43,Tim Mayza,TOR,1.0,1.0,0.96,24.0,0.0,0.0,0.0,1.0,4.0,0.0,18.2,74.0,16.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
45,44,Cole Sands,MIN,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0,8.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,9.0
46,45,Danny Young,ATL,0.0,0.0,1.08,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,35.0,7.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,11.0
47,46,Bryce Miller,SEA,3.0,1.0,1.15,5.0,5.0,0.0,0.0,0.0,0.0,0.0,31.1,110.0,13.0,4.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,28.0
48,47,Carlos Estevez,LAA,1.0,1.0,1.17,23.0,0.0,0.0,0.0,12.0,2.0,0.0,23.0,93.0,16.0,4.0,3.0,1.0,9.0,2.0,0.0,0.0,0.0,32.0
49,48,Jeff Hoffman,PHI,0.0,0.0,1.17,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2,33.0,4.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,13.0
50,49,Andrew Vasquez,PHI,1.0,0.0,1.21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,93.0,15.0,3.0,3.0,1.0,8.0,0.0,4.0,1.0,2.0,20.0
51,50,Ian Hamilton,NYY,1.0,1.0,1.23,16.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,88.0,15.0,3.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,30.0
52,51,Hector Neris,HOU,3.0,1.0,1.25,22.0,0.0,0.0,0.0,2.0,8.0,0.0,21.2,83.0,12.0,4.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,26.0
53,52,Alex Lange,DET,2.0,0.0,1.27,21.0,0.0,0.0,0.0,9.0,1.0,1.0,21.1,84.0,10.0,3.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,28.0
54,53,Chase Anderson,- - -,0.0,0.0,1.31,5.0,3.0,0.0,0.0,1.0,0.0,0.0,20.2,80.0,15.0,3.0,3.0,1.0,5.0,0.0,2.0,0.0,0.0,10.0
55,54,Chris Martin,BOS,0.0,1.0,1.32,14.0,0.0,0.0,0.0,0.0,9.0,0.0,13.2,53.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0
56,55,Penn Murfee,SEA,1.0,2.0,1.38,15.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,54.0,5.0,5.0,2.0,1.0,9.0,3.0,1.0,0.0,1.0,15.0
57,56,Jhoan Duran,MIN,0.0,1.0,1.4,19.0,0.0,0.0,0.0,7.0,0.0,1.0,19.1,73.0,9.0,5.0,3.0,2.0,9.0,2.0,0.0,3.0,0.0,26.0
58,57,David Bednar,PIT,2.0,0.0,1.42,19.0,0.0,0.0,0.0,9.0,0.0,1.0,19.0,73.0,14.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0
59,58,Caleb Ferguson,LAD,3.0,0.0,1.42,22.0,0.0,0.0,0.0,2.0,7.0,0.0,19.0,81.0,17.0,4.0,3.0,0.0,6.0,0.0,3.0,1.0,0.0,23.0
60,59,Felix Bautista,BAL,3.0,1.0,1.44,24.0,0.0,0.0,0.0,12.0,0.0,4.0,25.0,106.0,14.0,8.0,4.0,2.0,17.0,0.0,0.0,5.0,0.0,50.0
61,60,Matt Moore,LAA,3.0,1.0,1.44,22.0,0.0,0.0,0.0,0.0,12.0,0.0,25.0,94.0,13.0,5.0,4.0,2.0,7.0,2.0,2.0,0.0,0.0,21.0
62,61,Yohan Ramirez,PIT,0.0,0.0,1.5,11.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,76.0,13.0,3.0,3.0,1.0,8.0,0.0,3.0,1.0,0.0,20.0
63,62,Pete Fairbanks,TBR,0.0,1.0,1.54,13.0,0.0,0.0,0.0,5.0,1.0,1.0,11.2,49.0,8.0,3.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,10.0
64,63,Jaime Barria,LAA,1.0,2.0,1.55,12.0,1.0,0.0,0.0,0.0,1.0,1.0,29.0,114.0,19.0,12.0,5.0,2.0,8.0,3.0,1.0,0.0,1.0,28.0
65,64,Luis Severino,NYY,0.0,0.0,1.59,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.1,43.0,5.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
66,65,Will Vest,DET,1.0,0.0,1.59,14.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,64.0,9.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0
67,66,David Robertson,NYM,2.0,0.0,1.61,20.0,0.0,0.0,0.0,8.0,5.0,1.0,22.1,86.0,14.0,5.0,4.0,2.0,7.0,1.0,1.0,3.0,0.0,26.0
68,67,Kevin Herget,CIN,1.0,1.0,1.62,9.0,0.0,0.0,0.0,1.0,0.0,0.0,16.2,66.0,12.0,3.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,10.0
69,68,Keynan Middleton,CHW,0.0,0.0,1.65,18.0,0.0,0.0,0.0,1.0,2.0,0.0,16.1,68.0,14.0,3.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,23.0
70,69,Jason Foley,DET,2.0,1.0,1.66,23.0,0.0,0.0,0.0,2.0,9.0,1.0,21.2,83.0,18.0,5.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,17.0
71,70,Dane Dunning,TEX,4.0,0.0,1.67,12.0,4.0,0.0,0.0,0.0,2.0,0.0,43.0,169.0,32.0,9.0,8.0,0.0,10.0,0.0,3.0,2.0,0.0,26.0
72,71,Mark Leiter Jr.,CHC,1.0,0.0,1.69,21.0,0.0,0.0,0.0,2.0,8.0,0.0,21.1,84.0,12.0,5.0,4.0,1.0,6.0,0.0,3.0,1.0,1.0,32.0
73,72,Eli Morgan,CLE,2.0,0.0,1.71,17.0,0.0,0.0,0.0,1.0,2.0,0.0,21.0,89.0,22.0,8.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,23.0
74,73,Evan Phillips,LAD,1.0,0.0,1.77,21.0,0.0,0.0,0.0,7.0,4.0,1.0,20.1,77.0,12.0,4.0,4.0,2.0,5.0,0.0,1.0,1.0,0.0,25.0
75,74,Julio Teheran,MIL,0.0,1.0,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
76,75,Bobby Miller,LAD,1.0,0.0,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
77,76,Caleb Thielbar,MIN,0.0,1.0,1.8,11.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,38.0,7.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0
78,77,Tony Gonsolin,LAD,2.0,1.0,1.82,6.0,6.0,0.0,0.0,0.0,0.0,0.0,29.2,117.0,16.0,9.0,6.0,4.0,11.0,0.0,1.0,0.0,0.0,23.0
79,78,Sonny Gray,MIN,4.0,0.0,1.82,10.0,10.0,0.0,0.0,0.0,0.0,0.0,54.1,226.0,44.0,11.0,11.0,0.0,21.0,0.0,0.0,0.0,0.0,66.0
80,79,Alexis Diaz,CIN,1.0,1.0,1.83,20.0,0.0,0.0,0.0,11.0,1.0,0.0,19.2,77.0,7.0,4.0,4.0,0.0,10.0,0.0,2.0,2.0,0.0,37.0
81,80,Bryan Abreu,HOU,2.0,0.0,1.85,24.0,0.0,0.0,0.0,2.0,8.0,2.0,24.1,95.0,12.0,6.0,5.0,2.0,9.0,0.0,3.0,1.0,0.0,39.0
82,81,Michael King,NYY,1.0,1.0,1.88,17.0,0.0,0.0,0.0,3.0,1.0,0.0,28.2,116.0,22.0,6.0,6.0,1.0,9.0,0.0,2.0,0.0,0.0,32.0
83,82,Enyel De Los Santos,CLE,2.0,0.0,1.89,20.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,73.0,10.0,5.0,4.0,1.0,8.0,0.0,3.0,1.0,0.0,17.0
84,83,Trevor Gott,SEA,0.0,2.0,1.9,25.0,0.0,0.0,0.0,0.0,7.0,2.0,23.2,104.0,25.0,10.0,5.0,0.0,5.0,1.0,2.0,0.0,0.0,28.0
85,84,Dauri Moreta,PIT,1.0,1.0,1.9,21.0,0.0,0.0,0.0,1.0,2.0,1.0,23.2,92.0,10.0,7.0,5.0,2.0,12.0,0.0,0.0,3.0,0.0,35.0
86,85,Camilo Doval,SFG,1.0,2.0,1.9,24.0,0.0,0.0,0.0,14.0,0.0,1.0,23.2,97.0,14.0,9.0,5.0,2.0,10.0,2.0,2.0,4.0,1.0,35.0
87,86,Nate Pearson,TOR,1.0,0.0,1.93,11.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,58.0,11.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,0.0,14.0
88,87,Tommy Milone,SEA,0.0,0.0,1.93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,19.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
89,88,Jesse Chavez,ATL,0.0,0.0,1.93,25.0,1.0,0.0,0.0,1.0,9.0,2.0,23.1,93.0,18.0,6.0,5.0,1.0,6.0,0.0,2.0,0.0,0.0,28.0
90,89,Shane McClanahan,TBR,8.0,0.0,1.97,11.0,11.0,0.0,0.0,0.0,0.0,0.0,64.0,258.0,47.0,14.0,14.0,6.0,25.0,0.0,0.0,1.0,0.0,75.0
91,90,Victor Gonzalez,LAD,1.0,1.0,1.98,13.0,0.0,0.0,0.0,0.0,1.0,0.0,13.2,51.0,8.0,3.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,14.0
92,91,Brent Suter,COL,3.0,0.0,1.99,22.0,0.0,0.0,0.0,0.0,2.0,0.0,31.2,128.0,24.0,12.0,7.0,0.0,11.0,0.0,1.0,1.0,0.0,28.0
93,92,Nick Ramirez,NYY,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0,8.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
94,93,Tyler Rogers,SFG,0.0,4.0,2.0,23.0,0.0,0.0,0.0,2.0,11.0,1.0,27.0,106.0,17.0,7.0,6.0,2.0,9.0,1.0,1.0,0.0,0.0,22.0
95,94,Bryce Elder,ATL,3.0,0.0,2.01,10.0,10.0,0.0,0.0,0.0,0.0,0.0,58.1,237.0,52.0,14.0,13.0,4.0,16.0,0.0,4.0,6.0,1.0,51.0
96,95,Max Fried,ATL,2.0,1.0,2.08,5.0,5.0,1.0,1.0,0.0,0.0,0.0,26.0,103.0,22.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,25.0
97,96,Giovanny Gallegos,STL,1.0,2.0,2.08,20.0,0.0,0.0,0.0,6.0,4.0,1.0,21.2,84.0,17.0,6.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,20.0
98,97,Brusdar Graterol,LAD,2.0,1.0,2.08,23.0,0.0,0.0,0.0,3.0,6.0,1.0,21.2,88.0,21.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
99,98,Jeremiah Estrada,CHC,0.0,0.0,2.08,8.0,0.0,0.0,0.0,0.0,1.0,0.0,8.2,37.0,6.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,12.0
100,99,Trevor Stephan,CLE,2.0,2.0,2.11,23.0,0.0,0.0,0.0,2.0,8.0,3.0,21.1,90.0,19.0,6.0,5.0,4.0,9.0,0.0,0.0,1.0,0.0,25.0
101,100,John Schreiber,BOS,1.0,0.0,2.12,18.0,0.0,0.0,0.0,0.0,6.0,0.0,17.0,70.0,14.0,5.0,4.0,1.0,8.0,0.0,1.0,0.0,0.0,21.0
102,101,Alex Cobb,SFG,4.0,1.0,2.17,10.0,10.0,1.0,1.0,0.0,0.0,0.0,58.0,243.0,62.0,15.0,14.0,5.0,14.0,0.0,1.0,6.0,2.0,52.0
103,102,Eduardo Rodriguez,DET,4.0,4.0,2.19,10.0,10.0,0.0,0.0,0.0,0.0,0.0,61.2,239.0,45.0,17.0,15.0,5.0,14.0,0.0,0.0,0.0,0.0,61.0
104,103,Joe Ryan,MIN,7.0,1.0,2.21,10.0,10.0,0.0,0.0,0.0,0.0,0.0,61.0,242.0,48.0,17.0,15.0,4.0,10.0,0.0,1.0,3.0,0.0,70.0
105,104,Tyler Holton,DET,0.0,0.0,2.22,13.0,0.0,0.0,0.0,0.0,1.0,0.0,24.1,94.0,16.0,6.0,6.0,2.0,4.0,1.0,1.0,2.0,0.0,17.0
106,105,Joel Payamps,MIL,2.0,0.0,2.22,23.0,0.0,0.0,0.0,1.0,6.0,1.0,24.1,98.0,21.0,6.0,6.0,3.0,4.0,0.0,2.0,1.0,2.0,28.0
107,106,Justin Lawrence,COL,2.0,2.0,2.22,23.0,0.0,0.0,0.0,0.0,6.0,0.0,28.1,113.0,19.0,9.0,7.0,1.0,11.0,0.0,0.0,1.0,0.0,32.0
108,107,Josh Winckowski,BOS,2.0,0.0,2.23,18.0,0.0,0.0,0.0,2.0,6.0,2.0,32.1,127.0,26.0,9.0,8.0,2.0,6.0,0.0,1.0,1.0,0.0,23.0
109,108,Adrian Houser,MIL,1.0,0.0,2.25,4.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,83.0,21.0,5.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,14.0
110,109,Cory Abbott,WSN,0.0,0.0,2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
111,110,Lucas Erceg,OAK,0.0,0.0,2.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0
112,111,Kyle Nelson,ARI,4.0,1.0,2.25,24.0,0.0,0.0,0.0,0.0,5.0,2.0,20.0,86.0,20.0,8.0,5.0,2.0,7.0,0.0,1.0,1.0,0.0,23.0
113,112,Steven Okert,MIA,1.0,0.0,2.3,18.0,0.0,0.0,0.0,0.0,3.0,2.0,15.2,58.0,5.0,5.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,22.0
114,113,Miguel Castro,ARI,3.0,1.0,2.31,25.0,0.0,0.0,0.0,4.0,8.0,1.0,23.1,92.0,15.0,6.0,6.0,1.0,8.0,1.0,0.0,0.0,0.0,20.0
115,114,Gregory Santos,CHW,1.0,0.0,2.33,24.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,117.0,29.0,8.0,7.0,1.0,7.0,0.0,3.0,1.0,0.0,26.0
116,115,Joe Mantiply,ARI,1.0,0.0,2.35,8.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2,28.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
117,116,Richard Lovelady,OAK,0.0,3.0,2.35,17.0,0.0,0.0,0.0,0.0,2.0,1.0,15.1,61.0,8.0,5.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,16.0
118,117,Jose Cisnero,DET,2.0,0.0,2.37,21.0,0.0,0.0,0.0,1.0,5.0,0.0,19.0,85.0,19.0,6.0,5.0,3.0,8.0,1.0,2.0,2.0,0.0,19.0
119,118,Framber Valdez,HOU,5.0,4.0,2.38,11.0,11.0,1.0,1.0,0.0,0.0,0.0,72.0,286.0,60.0,24.0,19.0,6.0,15.0,0.0,2.0,2.0,0.0,77.0
120,119,Jose Hernandez,PIT,0.0,1.0,2.38,19.0,0.0,0.0,0.0,0.0,2.0,1.0,22.2,88.0,18.0,6.0,6.0,2.0,3.0,1.0,0.0,1.0,2.0,23.0
121,120,Colin Poche,TBR,3.0,1.0,2.41,22.0,0.0,0.0,0.0,1.0,7.0,1.0,18.2,84.0,17.0,6.0,5.0,1.0,9.0,0.0,1.0,2.0,0.0,12.0
122,121,Danny Coulombe,BAL,1.0,1.0,2.41,22.0,0.0,0.0,0.0,0.0,8.0,2.0,18.2,77.0,16.0,5.0,5.0,2.0,4.0,0.0,2.0,0.0,1.0,27.0
123,122,Colin Holderman,PIT,0.0,1.0,2.45,19.0,0.0,0.0,0.0,0.0,9.0,1.0,18.1,77.0,18.0,5.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0,23.0
124,123,Mike Mayers,KCR,0.0,0.0,2.45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.1,33.0,8.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,11.0
125,124,Zach Muckenhirn,NYM,0.0,0.0,2.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,17.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
126,125,Connor Brogdon,PHI,2.0,0.0,2.45,23.0,1.0,0.0,0.0,0.0,3.0,0.0,25.2,109.0,22.0,8.0,7.0,3.0,12.0,0.0,1.0,2.0,0.0,23.0
127,126,Wandy Peralta,NYY,2.0,1.0,2.45,25.0,0.0,0.0,0.0,3.0,5.0,1.0,22.0,92.0,14.0,8.0,6.0,2.0,13.0,0.0,2.0,0.0,2.0,21.0
128,127,Xzavion Curry,CLE,0.0,0.0,2.49,11.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,103.0,23.0,8.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,19.0
129,128,Zach Jackson,OAK,2.0,1.0,2.5,19.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,80.0,18.0,7.0,5.0,1.0,10.0,0.0,0.0,5.0,0.0,23.0
130,129,Gerrit Cole,NYY,5.0,0.0,2.53,11.0,11.0,1.0,1.0,0.0,0.0,0.0,67.2,277.0,54.0,20.0,19.0,6.0,23.0,0.0,2.0,0.0,0.0,70.0
131,130,Bailey Ober,MIN,3.0,1.0,2.55,6.0,6.0,0.0,0.0,0.0,0.0,0.0,35.1,137.0,25.0,10.0,10.0,3.0,10.0,0.0,0.0,1.0,0.0,30.0
132,131,George Soriano,MIA,0.0,0.0,2.57,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,7.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
133,132,Derek Law,CIN,3.0,4.0,2.57,20.0,2.0,0.0,0.0,1.0,2.0,1.0,21.0,91.0,18.0,8.0,6.0,3.0,13.0,0.0,0.0,1.0,0.0,20.0
